date,overall,"food, drinks and tobacco","clothes, shoes and accesories",housing,forniture and domestic appliances,health and personal care,transportation,education and recreation,others
Ago 2010,73.131749500306,65.553132973184,80.527616088109,86.088631670492,79.709659147436,74.943683685362,63.133908971750,74.515861139826,67.846142980681
Sep 2010,73.515110186521,66.054661966867,80.932834103318,86.276660190359,80.051721011094,75.206708543612,63.314018148509,75.522114412693,67.884305545265
Oct 2010,73.968926350203,66.619142646374,81.239201357031,87.209695182420,80.399065683456,75.398835754886,63.429125517113,75.675457789933,68.129833370417
Nov 2010,74.561581248892,67.178620542902,81.497194833842,88.867059970948,80.595189956635,75.449708875617,63.734724295723,75.685981355037,68.301794806011
Dic 2010,74.930954450610,67.983234805419,81.606561633794,88.823122035034,80.758957026494,75.475145435983,64.093588444903,76.101912737747,68.733537554734
Ene 2011,75.295991345634,68.530188226420,81.124278681577,89.191782769406,80.772024991524,75.959373063495,64.520267626324,76.033750133264,69.191398026995
Feb 2011,75.578460244005,68.824356293071,81.931177256871,89.524097241968,81.075539626419,76.152078956517,64.693467787977,76.102286053702,69.523671936270
Mar 2011,75.723450928541,68.914869544348,82.501711603039,89.625390958203,81.144960526953,76.284328098786,64.819198275696,76.229458261624,69.816733396624
Abr 2011,75.717440951980,69.915315253540,82.804909855573,88.115759169747,81.342729371499,76.400707343984,65.048848860407,76.322362509329,70.060951280252
May 2011,75.159264378869,69.179552233689,82.987480846347,86.379549331817,81.504980546004,76.595680365159,65.152127475319,76.119800788925,70.219864889036
Jun 2011,75.155508143518,68.718071793465,82.984220650083,86.520827409724,81.892446037358,76.656137115911,65.364458043865,76.222604669581,70.402856317332
Jul 2011,75.516106737184,69.562176432269,82.692433084472,86.640780494740,81.543727095139,76.621374484228,65.858399245617,76.730531991045,70.592039184931
Ago 2011,75.635555021335,69.608118764357,83.259707234376,86.715417969861,81.476727853926,76.460408385351,66.106652810654,76.961269589851,70.763335672322
Sep 2011,75.821113047659,69.665032399630,83.699833729991,86.814046061985,81.819796257729,76.456629838429,66.369018981455,77.783700635100,70.704173030090
Oct 2011,76.332712302422,69.998285733877,83.973690216151,88.169071651976,82.182237936101,76.337227755694,66.615989582331,77.974078191870,71.024751998459
Nov 2011,77.158332832502,70.574279151095,84.298079744401,90.522817742394,82.306549781243,76.429424300591,66.920052088345,78.011392192997,71.440266369478
Dic 2011,77.792385359697,72.078719100353,84.407296319238,90.686309354564,83.041119775270,76.935749588138,67.290828730699,78.498758738330,71.809000976872
Ene 2012,78.343049462107,73.498131449926,83.788674078180,90.858686380438,83.602944737734,77.667276272237,67.643002392728,78.496474207649,72.253408731305
Feb 2012,78.502313840976,73.393218363219,84.621654223584,91.039948820017,84.193829612050,77.794991158200,67.821975893103,78.576432781492,72.649660846714
Mar 2012,78.547388665184,73.104535948160,85.026733609363,91.011515496162,84.549006312459,77.965025769690,67.965026396988,78.870375729146,72.986750319891
Abr 2012,78.300979626180,73.013336990434,85.303035242722,89.764891953369,84.874315881242,78.161510209634,68.140151004882,78.587855434899,73.327279481570
